Surfactant,Chain,Counter Ion,CMC / mM,Source
Ethoxylates,C8PhE9,N/A,0.3,StevenAbbott
Ethoxylates,C9PhE9,N/A,0.11,StevenAbbott
Ethoxylates,C9PhE15,N/A,0.12,StevenAbbott
Ethoxylates,C9PhE20,N/A,0.16,StevenAbbott
Carboxylic Acid,C8,Na+,360,Pirika
Carboxylic Acid,C10,Na+,95,Pirika
Carboxylic Acid,C12,Na+,27.5,Pirika
Carboxylic Acid,C14,Na+,7.2,Pirika
Carboxylic Acid,C16,Na+,1.9,Pirika
Carboxylic Acid,C18,Na+,0.5,Pirika
NMe2NBzCl,C8,Cl-,57,NIST
NMe2NBzCl,C10,Cl-,23,NIST
NMe2NBzCl,C12,Cl-,3.6,NIST
NMe2NBzCl,C14,Cl-,0.51,NIST
NMe2NBzCl,C16,Cl-,0.13,NIST
NMe2NBzCl,C18,Cl-,0.029,NIST
SO3H,C13,H+,2.6,NIST
SO3H,C14,H+,1.32,NIST
SO3H,C15,H+,0.48,NIST
SO3H,C16,H+,0.28,NIST
SO3H,C17,H+,0.14,NIST
NH3Ac,C10,Ac-,40,NIST
NH3Ac,C12,Ac-,13,NIST
NH3Ac,C14,Ac-,4,NIST
NH3Ac,C16,Ac-,0.8,NIST
NH3Ac,C18,Ac-,0.3,NIST
