func_group,chain,smiles,head_smiles,tail_smiles,carbon_len,ethoxy_len,aromatic_rings,counter_ion,CMC,MW,NVE,logP,chi0,bertzct,chi1,peoe_vsa6,labute_asa,molmr,wiener_index,zagreb_index1,zagreb_index2,walk_count,total_ic
SO3Na,C15,CCCCCCCCCCCCCCCS(=O)(=O)[O-],CS(=O)(=O)[O-],CCCCCCCCCCCCCC,15,0,0,Na+,0.66,291.19993943191,116,4.622800000000004,14.399494936611669,273.11527403653605,9.060660171779823,83.97359667480276,119.47707663942269,80.25920000000006,1094,76.0,74.0,18.0,65.25447743045186
SO3Na,C16,CCCCCCCCCCCCCCCCS(=O)(=O)[O-],CS(=O)(=O)[O-],CCCCCCCCCCCCCCC,16,0,0,Na+,0.54,305.21558949591,122,5.012900000000005,15.106601717798217,286.0971101320948,9.560660171779821,90.39441829772878,125.8420187538193,84.87620000000007,1281,80.0,78.0,19.0,68.35989065085712
SO3Na,C17,CCCCCCCCCCCCCCCCCS(=O)(=O)[O-],CS(=O)(=O)[O-],CCCCCCCCCCCCCCCC,17,0,0,Na+,0.21,319.23123955990997,128,5.403000000000005,15.813708498984765,299.157081318921,10.060660171779821,96.81523992065479,132.2069608682159,89.49320000000007,1488,84.0,82.0,20.0,71.44521423873276
SO3Na,C18,CCCCCCCCCCCCCCCCCCS(=O)(=O)[O-],CS(=O)(=O)[O-],CCCCCCCCCCCCCCCCC,18,0,0,Na+,0.19,333.24688962390996,134,5.793100000000006,16.520815280171313,312.2939580818954,10.560660171779821,103.2360615435808,138.57190298261256,94.11020000000008,1716,88.0,86.0,21.0,74.5126278559524
SO3Na,C6Ph,C1=CC=C(C=C1)CCCCCCS(=O)(=O)[O-],CS(=O)(=O)[O-],C1=CC=C(C=C1)CCCCC,6,0,1,Na+,37.0,241.09038898391,90,2.3346999999999998,11.855524862241651,383.9847167860316,7.578298261984863,43.173478588160066,97.24969181591723,63.17820000000004,575,72.0,74.0,16.0,49.203700126755855
SO3Na,C7Ph,C1=CC=C(C=C1)CCCCCCCS(=O)(=O)[O-],CS(=O)(=O)[O-],C1=CC=C(C=C1)CCCCCC,7,0,1,Na+,21.0,255.10603904791,96,2.724800000000001,12.5626316434282,397.9325683848337,8.078298261984862,49.59430021108608,103.61463393031384,67.79520000000004,702,76.0,78.0,17.0,52.546073458497446
SO3Na,C8Ph,C1=CC=C(C=C1)CCCCCCCCS(=O)(=O)[O-],CS(=O)(=O)[O-],C1=CC=C(C=C1)CCCCCCC,8,0,1,Na+,14.0,269.12168911191003,102,3.1149000000000013,13.269738424614747,411.92506138831783,8.578298261984862,56.01512183401209,109.97957604471046,72.41220000000004,846,80.0,82.0,18.0,55.83416424630379
SO3Na,C9Ph,C1=CC=C(C=C1)CCCCCCCCCS(=O)(=O)[O-],CS(=O)(=O)[O-],C1=CC=C(C=C1)CCCCCCCC,9,0,1,Na+,6.5,283.13733917591003,108,3.5050000000000017,13.976845205801295,425.9637256936238,9.078298261984862,62.435943456938105,116.34451815910707,77.02920000000005,1008,84.0,86.0,19.0,59.0771603311054
SO3Na,C10Ph,C1=CC=C(C=C1)CCCCCCCCCCS(=O)(=O)[O-],CS(=O)(=O)[O-],C1=CC=C(C=C1)CCCCCCCCC,10,0,1,Na+,3.1,297.15298923991,114,3.895100000000003,14.683951986987843,440.04960603265533,9.578298261984862,68.85676507986412,122.70946027350368,81.64620000000005,1189,88.0,90.0,20.0,62.282097088303786
SO3Na,C12Ph,C1=CC=C(C=C1)CCCCCCCCCCCCS(=O)(=O)[O-],CS(=O)(=O)[O-],C1=CC=C(C=C1)CCCCCCCCCCC,12,0,1,Na+,1.2,325.18428936790997,126,4.675300000000004,16.09816554936094,468.365452636628,10.578298261984862,81.69840832571614,135.43934450229693,90.88020000000006,1612,96.0,98.0,22.0,68.59870605372159
SO3Na,C14Ph,C1=CC=C(C=C1)CCCCCCCCCCCCCCS(=O)(=O)[O-],CS(=O)(=O)[O-],C1=CC=C(C=C1)CCCCCCCCCCCCC,14,0,1,Na+,0.66,353.21558949590997,138,5.455500000000005,17.512379111734035,496.8750630465538,11.578298261984862,94.54005157156817,148.1692287310902,100.11420000000007,2123,104.0,106.0,24.0,74.8162754686506
PyBr,C8Py,C1=CC=[NH+]C=C1CCCCCCCC,CC1=CC=[NH+]C=C1,CCCCCCC,8,0,1,Br-,193.0,192.17467612408998,78,3.4037000000000024,10.0626316434282,217.93698907465074,6.931851652578137,39.02784531432067,87.57058801561637,60.07770000000004,399,58.0,60.0,14.0,39.9040881060685
PyBr,C10Py,C1=CC=[NH+]C=C1CCCCCCCCCC,CC1=CC=[NH+]C=C1,CCCCCCCCC,10,0,1,Br-,85.0,220.20597625208998,90,4.183900000000004,11.476845205801295,242.87168100004584,7.931851652578137,51.8694885601727,100.30047224440958,69.31170000000004,612,66.0,68.0,16.0,45.66254015091176
PyBr,C11Py,C1=CC=[NH+]C=C1CCCCCCCCCCC,CC1=CC=[NH+]C=C1,CCCCCCCCCC,11,0,1,Br-,42.0,234.22162631609,96,4.574000000000004,12.183951986987843,255.48750558230012,8.431851652578137,58.29031018309871,106.66541435880619,73.92870000000005,742,70.0,72.0,17.0,48.527451517222445
PyBr,C12Py,C1=CC=[NH+]C=C1CCCCCCCCCCCC,CC1=CC=[NH+]C=C1,CCCCCCCCCCC,12,0,1,Br-,11.4,248.23727638009,102,4.9641000000000055,12.891058768174391,268.1983979932711,8.931851652578137,64.71113180602472,113.0303564732028,78.54570000000005,889,74.0,76.0,18.0,51.38461386510418
PyBr,C14Py,C1=CC=[NH+]C=C1CCCCCCCCCCCCCC,CC1=CC=[NH+]C=C1,CCCCCCCCCCCCC,14,0,1,Br-,2.9,276.26857650809,114,5.744300000000006,14.305272330547487,293.89437610409436,9.931851652578137,77.55277505187675,125.76024070199603,87.77970000000006,1238,82.0,84.0,20.0,57.07956575888764
PyBr,C16Py,C1=CC=[NH+]C=C1CCCCCCCCCCCCCCCC,CC1=CC=[NH+]C=C1,CCCCCCCCCCCCCCC,16,0,1,Br-,0.6,304.29987663609,126,6.524500000000007,15.719485892920583,319.9388418843404,10.931851652578137,90.39441829772878,138.49012493078925,97.01370000000007,1667,90.0,92.0,22.0,62.753524347300896
Ethoxylates,C8E1,CCCCCCCCOCCO,COCCO,CCCCCCC,8,1,0,nan,4.9,174.161979944,74,2.355800000000001,9.071067811865477,64.2388309575275,5.914213562373096,39.02784531432067,75.93150903910191,51.280800000000035,286,42.0,40.0,11.0,39.64696004361737
Ethoxylates,C8E3,CCCCCCCCOCCOCCOCCO,COCCOCCOCCO,CCCCCCC,8,3,0,nan,7.5,262.21440944,110,2.3890000000000007,13.313708498984765,125.75568111715516,8.914213562373096,39.02784531432067,111.61836795570213,72.91880000000006,969,66.0,64.0,17.0,59.56851325755348
Ethoxylates,C10E3,CCCCCCCCCCOCCOCCOCCO,COCCOCCOCCO,CCCCCCCCC,10,3,0,nan,0.6,290.245709568,122,3.1692000000000022,14.72792206135786,146.55586194967046,9.914213562373096,51.8694885601727,124.34825218449538,82.15280000000007,1330,74.0,72.0,19.0,65.79018851431576
Ethoxylates,C7E4,CCCCCCCOCCOCCOCCOCCO,COCCOCCOCCOCCO,CCCCCC,7,4,0,nan,40.0,292.22497412399997,122,2.0155000000000007,14.72792206135786,148.3428625411059,9.914213562373096,32.60702369139466,123.09685529960564,79.12080000000006,1330,74.0,72.0,19.0,66.2098659347722
Ethoxylates,C8E4,CCCCCCCCOCCOCCOCCOCCO,COCCOCCOCCOCCO,CCCCCCC,8,4,0,nan,11.7,306.24062418799997,128,2.405600000000001,15.435028842544408,160.0502709147734,10.414213562373096,39.02784531432067,129.46179741400223,83.73780000000006,1540,78.0,76.0,20.0,69.39140716690794
Ethoxylates,C10E4,CCCCCCCCCCOCCOCCOCCOCCO,COCCOCCOCCOCCO,CCCCCCCCC,10,4,0,nan,0.68,334.27192431599997,140,3.1858000000000017,16.849242404917504,181.8509662456208,11.414213562373096,51.8694885601727,142.1916816427955,92.97180000000007,2024,86.0,84.0,22.0,75.68544158008137
Ethoxylates,C8E5,CCCCCCCCOCCOCCOCCOCCOCCO,COCCOCCOCCOCCOCCO,CCCCCCC,8,5,0,nan,11.0,350.26683893599994,146,2.4222000000000006,17.55634918610405,193.68566620706025,11.914213562373096,39.02784531432067,147.30522687230234,94.55680000000008,2300,90.0,88.0,23.0,79.17050070284145
Ethoxylates,C10E5,CCCCCCCCCCOCCOCCOCCOCCOCCO,COCCOCCOCCOCCOCCO,CCCCCCCCC,10,5,0,nan,0.81,378.29813906399994,158,3.202400000000002,18.970562748477143,216.34129580420978,12.914213562373096,51.8694885601727,160.0351111010956,103.79080000000009,2925,98.0,96.0,25.0,85.52180454624096
Ethoxylates,C12E5,CCCCCCCCCCCCOCCOCCOCCOCCOCCO,COCCOCCOCCOCCOCCO,CCCCCCCCCCC,12,5,0,nan,0.064,406.3294391919999,170,3.9826000000000037,20.384776310850235,239.41153254660225,13.914213562373096,64.71113180602472,172.76499532988882,113.0248000000001,3654,106.0,104.0,27.0,91.79842846357222
Ethoxylates,C8E6,CCCCCCCCOCCOCCOCCOCCOCCOCCO,COCCOCCOCCOCCOCCOCCO,CCCCCCC,8,6,0,nan,9.9,394.2930536839999,164,2.438800000000001,19.67766952966369,230.4847256949994,13.414213562373096,39.02784531432067,165.14865633060245,105.37580000000008,3276,102.0,100.0,26.0,88.92080940883525
Ethoxylates,C10E6,CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,COCCOCCOCCOCCOCCOCCO,CCCCCCCCC,10,6,0,nan,0.9,422.3243538119999,176,3.2190000000000025,21.09188309203678,253.88639391110314,14.414213562373096,51.8694885601727,177.8785405593957,114.6098000000001,4060,110.0,108.0,28.0,95.3185717441447
Ethoxylates,C12E6,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,COCCOCCOCCOCCOCCOCCO,CCCCCCCCCCC,12,6,0,nan,0.087,450.35565393999985,188,3.999200000000003,22.506096654409873,277.65239886768137,15.414213562373096,64.71113180602472,190.60842478818893,123.84380000000012,4960,118.0,116.0,30.0,101.6444562732074
Ethoxylates,C14E6,CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,COCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCCC,14,6,0,nan,0.01,478.38695406799985,200,4.779400000000005,23.920310216782966,301.76226005674357,16.414213562373096,77.55277505187675,203.33830901698215,133.07780000000008,5984,126.0,124.0,32.0,107.90924189594043
Ethoxylates,C12E7,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,COCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCC,12,7,0,nan,0.08,494.3818686879998,206,4.015800000000003,24.62741699796951,314.76230393084313,16.914213562373092,64.71113180602472,208.45185424648903,134.66280000000006,6545,130.0,128.0,33.0,111.45462465158647
Ethoxylates,C16E7,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,COCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCCCCC,16,7,0,nan,0.017,550.4444689439998,230,5.576200000000006,27.455844122715696,364.4491277464471,18.914213562373092,90.39441829772878,233.91162270407548,153.13079999999982,9139,146.0,144.0,37.0,124.01872986523065
